accommodates,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price
2,1,Real Bed,1,1,1,strict,2,t,f,1,f,1125,4,House,10,10,9,95,10,Private room,$41.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$100.00 
4,2,Real Bed,2,1,1,flexible,1,t,f,1,f,1125,3,Apartment,9,10,9,93,10,Entire home/apt,$75.00 
2,1.5,Real Bed,1,1,1,strict,1,t,f,2,t,7,3,House,10,10,10,100,10,Private room,$70.00 
2,1.5,Airbed,1,1,2,strict,1,t,t,2,f,30,10,House,10,10,9,90,9,Private room,$65.00 
2,1.5,Real Bed,1,2,2,strict,1,t,t,2,f,30,12,House,10,10,9,93,9,Private room,$55.00 
4,1,Real Bed,1,2,1,flexible,1,t,f,1,f,1125,24,Apartment,9,10,9,94,10,Private room,$130.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$40.00 
1,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$150.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$95.00 
4,1.5,Real Bed,1,2,1,flexible,1,t,f,1,f,1125,5,Condominium,10,10,10,96,10,Private room,$65.00 
2,1,Real Bed,1,1,2,strict,2,t,f,2,f,1125,2,House,10,10,10,100,10,Private room,$40.00 
2,1,Real Bed,1,1,2,flexible,1,t,f,2,f,7,0,House,,,,,,Private room,$40.00 
4,1,Real Bed,0,2,1,moderate,1,t,f,1,f,1125,4,Apartment,10,10,10,100,10,Entire home/apt,$65.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$100.00 
4,1,Real Bed,2,2,1,strict,2,t,t,1,f,90,119,House,10,10,10,97,10,Entire home/apt,$99.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,Apartment,,,,,,Private room,$185.00 
2,1,Real Bed,1,1,1,flexible,1,t,,,f,1125,3,House,10,10,10,80,9,Private room,$45.00 
6,1,Real Bed,2,2,1,moderate,4,t,t,1,f,1125,42,House,10,10,10,99,10,Entire home/apt,$135.00 
4,1,Real Bed,1,1,1,strict,1,t,f,1,f,1125,4,Apartment,7,6,8,35,4,Entire home/apt,$35.00 
6,,Real Bed,1,,1,flexible,1,t,f,1,f,21,0,House,,,,,,Private room,$400.00 
2,1,Real Bed,1,1,1,moderate,1,t,f,1,f,30,1,House,10,8,10,80,8,Private room,$60.00 
2,1,Real Bed,1,1,1,moderate,2,t,f,1,f,1125,6,Apartment,10,10,10,100,10,Entire home/apt,$95.00 
2,1,Real Bed,2,1,1,strict,1,t,f,1,f,3,2,House,10,10,9,100,10,Entire home/apt,$60.00 
6,1.5,Real Bed,3,4,7,strict,1,t,f,339,f,180,3,House,10,8,10,100,10,Entire home/apt,$350.00 
2,1,Real Bed,1,2,1,strict,1,t,t,32,f,1125,0,House,,,,,,Private room,$50.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$110.00 
2,1,Real Bed,1,1,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$80.00 
1,1,Real Bed,1,1,1,moderate,1,t,f,1,f,1125,1,Apartment,,,,,,Private room,$60.00 
3,1,Real Bed,1,2,1,strict,2,t,f,1,f,1125,1,Other,10,10,10,100,10,Private room,$59.00 
3,,Real Bed,1,,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Private room,$200.00 
2,1,Real Bed,1,1,1,strict,1,t,f,1,f,6,0,House,,,,,,Private room,$100.00 
6,2,Real Bed,2,2,3,flexible,0,t,f,3,f,1125,0,House,,,,,,Entire home/apt,$175.00 
3,1,Real Bed,1,1,1,moderate,1,t,f,1,f,14,13,Apartment,10,10,9,97,10,Entire home/apt,$71.00 
4,2,Real Bed,2,2,1,strict,2,t,f,1,f,1125,18,Apartment,10,10,9,91,10,Entire home/apt,$125.00 
4,1,Real Bed,0,1,1,moderate,1,t,f,1,t,1125,15,Apartment,10,10,10,92,9,Entire home/apt,$90.00 
2,1,Real Bed,1,1,1,strict,1,t,t,32,f,1125,0,House,,,,,,Private room,$100.00 
3,1,Real Bed,1,1,1,strict,1,t,f,1,f,20,6,Apartment,10,10,10,100,10,Entire home/apt,$109.00 
4,1,Real Bed,2,2,1,flexible,1,t,t,1,f,1125,43,House,10,10,9,99,10,Entire home/apt,$90.00 
4,1,Real Bed,0,2,17,strict,2,t,f,21,f,1125,28,House,10,10,10,99,10,Entire home/apt,$85.00 
3,1,Real Bed,0,1,1,flexible,1,t,f,1,f,1125,0,Bungalow,,,,,,Entire home/apt,$200.00 
5,2,Real Bed,3,4,1,flexible,1,t,f,1,f,1125,0,House,,,,,,Entire home/apt,$800.00 
3,1,Real Bed,1,1,1,flexible,2,t,t,1,t,30,49,House,10,10,10,96,10,Private room,$64.00 
2,1,Real Bed,1,1,1,moderate,1,t,f,1,f,14,1,Apartment,10,10,8,100,8,Private room,$199.00 
